2022.10.21 19:41:44,143	INFO	1	org.l2jmobius.commons.database.DatabaseFactory	Database: Initialized.
2022.10.21 19:41:44,192	INFO	1	org.l2jmobius.loginserver.LoginController	Loading LoginController...
2022.10.21 19:41:44,470	INFO	1	org.l2jmobius.loginserver.LoginController	Cached 10 KeyPairs for RSA communication.
2022.10.21 19:41:44,533	INFO	1	org.l2jmobius.loginserver.GameServerTable	Loaded 127 server names.
2022.10.21 19:41:44,570	INFO	1	org.l2jmobius.loginserver.GameServerTable	Loaded 1 registered Game Servers.
2022.10.21 19:41:44,610	INFO	1	org.l2jmobius.loginserver.GameServerTable	Cached 10 RSA keys for Game Server communication.
2022.10.21 19:41:44,615	INFO	1	org.l2jmobius.loginserver.LoginServer	Loaded 2 IP Bans.
2022.10.21 19:41:44,617	INFO	1	org.l2jmobius.loginserver.LoginServer	Listening for GameServers on 127.0.0.1:9014
2022.10.21 19:41:44,765	INFO	1	org.l2jmobius.commons.network.NetworkManager	ClientNetworkManager: Listening on 0.0.0.0:6666
2022.10.21 19:42:51,110	INFO	31	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Bartz IP's:
2022.10.21 19:42:51,112	INFO	31	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2022.10.21 19:42:51,112	INFO	31	org.l2jmobius.loginserver.GameServerThread	192.168.0.28/192.168.0.0/24
2022.10.21 19:42:51,112	INFO	31	org.l2jmobius.loginserver.GameServerThread	188.123.230.6/0.0.0.0/0
2022.10.21 19:47:15,680	INFO	31	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Bartz: Connection lost: Connection reset
2022.10.21 19:47:15,680	INFO	31	org.l2jmobius.loginserver.GameServerThread	Server [2] Bartz is now set as disconnected.
2022.10.21 19:47:47,664	INFO	33	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Bartz IP's:
2022.10.21 19:47:47,665	INFO	33	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2022.10.21 19:47:47,665	INFO	33	org.l2jmobius.loginserver.GameServerThread	192.168.0.28/192.168.0.0/24
2022.10.21 19:47:47,665	INFO	33	org.l2jmobius.loginserver.GameServerThread	188.123.230.6/0.0.0.0/0
2022.10.21 19:55:34,874	INFO	33	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Bartz: Connection lost: Connection reset
2022.10.21 19:55:34,874	INFO	33	org.l2jmobius.loginserver.GameServerThread	Server [2] Bartz is now set as disconnected.
2022.10.21 19:56:03,373	INFO	37	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Bartz IP's:
2022.10.21 19:56:03,374	INFO	37	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2022.10.21 19:56:03,374	INFO	37	org.l2jmobius.loginserver.GameServerThread	192.168.0.28/192.168.0.0/24
2022.10.21 19:56:03,374	INFO	37	org.l2jmobius.loginserver.GameServerThread	188.123.230.6/0.0.0.0/0
2022.10.21 20:15:18,434	INFO	37	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Bartz: Connection lost: Connection reset
2022.10.21 20:15:18,436	INFO	37	org.l2jmobius.loginserver.GameServerThread	Server [2] Bartz is now set as disconnected.
2022.10.21 20:15:52,089	INFO	44	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Bartz IP's:
2022.10.21 20:15:52,090	INFO	44	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2022.10.21 20:15:52,090	INFO	44	org.l2jmobius.loginserver.GameServerThread	192.168.0.28/192.168.0.0/24
2022.10.21 20:15:52,090	INFO	44	org.l2jmobius.loginserver.GameServerThread	188.123.230.6/0.0.0.0/0
