2022.09.25 01:31:01,617	INFO	1	org.l2jmobius.commons.database.DatabaseFactory	Database: Initialized.
2022.09.25 01:31:01,658	INFO	1	org.l2jmobius.loginserver.LoginController	Loading LoginController...
2022.09.25 01:31:01,955	INFO	1	org.l2jmobius.loginserver.LoginController	Cached 10 KeyPairs for RSA communication.
2022.09.25 01:31:02,025	INFO	1	org.l2jmobius.loginserver.GameServerTable	Loaded 127 server names.
2022.09.25 01:31:02,027	INFO	1	org.l2jmobius.loginserver.GameServerTable	Loaded 1 registered Game Servers.
2022.09.25 01:31:02,073	INFO	1	org.l2jmobius.loginserver.GameServerTable	Cached 10 RSA keys for Game Server communication.
2022.09.25 01:31:02,076	INFO	1	org.l2jmobius.loginserver.LoginServer	Loaded 2 IP Bans.
2022.09.25 01:31:02,077	INFO	1	org.l2jmobius.loginserver.LoginServer	Listening for GameServers on 127.0.0.1:9014
2022.09.25 01:31:02,244	INFO	1	org.l2jmobius.commons.network.NetworkManager	ClientNetworkManager: Listening on 0.0.0.0:6666
2022.09.25 01:31:30,656	INFO	31	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Bartz IP's:
2022.09.25 01:31:30,658	INFO	31	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2022.09.25 01:31:30,658	INFO	31	org.l2jmobius.loginserver.GameServerThread	192.168.0.25/192.168.0.0/24
2022.09.25 01:31:30,658	INFO	31	org.l2jmobius.loginserver.GameServerThread	188.123.230.2/0.0.0.0/0
2022.09.25 01:35:07,461	INFO	31	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Bartz: Connection lost: Connection reset
2022.09.25 01:35:07,461	INFO	31	org.l2jmobius.loginserver.GameServerThread	Server [2] Bartz is now set as disconnected.
2022.09.25 01:35:37,955	INFO	33	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Bartz IP's:
2022.09.25 01:35:37,956	INFO	33	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2022.09.25 01:35:37,956	INFO	33	org.l2jmobius.loginserver.GameServerThread	192.168.0.25/192.168.0.0/24
2022.09.25 01:35:37,956	INFO	33	org.l2jmobius.loginserver.GameServerThread	188.123.230.2/0.0.0.0/0
2022.09.25 01:36:40,801	INFO	33	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Bartz: Connection lost: Connection reset
2022.09.25 01:36:40,802	INFO	33	org.l2jmobius.loginserver.GameServerThread	Server [2] Bartz is now set as disconnected.
2022.09.25 01:37:12,234	INFO	35	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Bartz IP's:
2022.09.25 01:37:12,234	INFO	35	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2022.09.25 01:37:12,234	INFO	35	org.l2jmobius.loginserver.GameServerThread	192.168.0.25/192.168.0.0/24
2022.09.25 01:37:12,234	INFO	35	org.l2jmobius.loginserver.GameServerThread	188.123.230.2/0.0.0.0/0
2022.09.25 01:38:29,344	INFO	35	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Bartz: Connection lost: Connection reset
2022.09.25 01:38:29,345	INFO	35	org.l2jmobius.loginserver.GameServerThread	Server [2] Bartz is now set as disconnected.
2022.09.25 01:38:52,507	INFO	37	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Bartz IP's:
2022.09.25 01:38:52,508	INFO	37	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2022.09.25 01:38:52,508	INFO	37	org.l2jmobius.loginserver.GameServerThread	192.168.0.25/192.168.0.0/24
2022.09.25 01:38:52,508	INFO	37	org.l2jmobius.loginserver.GameServerThread	188.123.230.2/0.0.0.0/0
2022.09.25 01:40:26,816	INFO	37	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Bartz: Connection lost: Connection reset
2022.09.25 01:40:26,817	INFO	37	org.l2jmobius.loginserver.GameServerThread	Server [2] Bartz is now set as disconnected.
2022.09.25 01:40:54,281	INFO	39	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Bartz IP's:
2022.09.25 01:40:54,281	INFO	39	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2022.09.25 01:40:54,281	INFO	39	org.l2jmobius.loginserver.GameServerThread	192.168.0.25/192.168.0.0/24
2022.09.25 01:40:54,281	INFO	39	org.l2jmobius.loginserver.GameServerThread	188.123.230.2/0.0.0.0/0
