2022.09.25 00:54:06,446	INFO	1	org.l2jmobius.commons.database.DatabaseFactory	Database: Initialized.
2022.09.25 00:54:06,485	INFO	1	org.l2jmobius.loginserver.LoginController	Loading LoginController...
2022.09.25 00:54:06,787	INFO	1	org.l2jmobius.loginserver.LoginController	Cached 10 KeyPairs for RSA communication.
2022.09.25 00:54:06,864	INFO	1	org.l2jmobius.loginserver.GameServerTable	Loaded 127 server names.
2022.09.25 00:54:06,866	INFO	1	org.l2jmobius.loginserver.GameServerTable	Loaded 1 registered Game Servers.
2022.09.25 00:54:06,905	INFO	1	org.l2jmobius.loginserver.GameServerTable	Cached 10 RSA keys for Game Server communication.
2022.09.25 00:54:06,908	INFO	1	org.l2jmobius.loginserver.LoginServer	Loaded 2 IP Bans.
2022.09.25 00:54:06,910	INFO	1	org.l2jmobius.loginserver.LoginServer	Listening for GameServers on 127.0.0.1:9014
2022.09.25 00:54:07,063	INFO	1	org.l2jmobius.commons.network.NetworkManager	ClientNetworkManager: Listening on 0.0.0.0:6666
2022.09.25 00:54:34,111	INFO	31	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Bartz IP's:
2022.09.25 00:54:34,113	INFO	31	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2022.09.25 00:54:34,113	INFO	31	org.l2jmobius.loginserver.GameServerThread	192.168.0.25/192.168.0.0/24
2022.09.25 00:54:34,113	INFO	31	org.l2jmobius.loginserver.GameServerThread	188.123.230.2/0.0.0.0/0
2022.09.25 00:59:12,447	INFO	31	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Bartz: Connection lost: Connection reset
2022.09.25 00:59:12,447	INFO	31	org.l2jmobius.loginserver.GameServerThread	Server [2] Bartz is now set as disconnected.
2022.09.25 00:59:58,584	INFO	34	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Bartz IP's:
2022.09.25 00:59:58,584	INFO	34	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2022.09.25 00:59:58,584	INFO	34	org.l2jmobius.loginserver.GameServerThread	192.168.0.25/192.168.0.0/24
2022.09.25 00:59:58,584	INFO	34	org.l2jmobius.loginserver.GameServerThread	188.123.230.2/0.0.0.0/0
2022.09.25 01:06:50,325	INFO	34	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Bartz: Connection lost: Connection reset
2022.09.25 01:06:50,326	INFO	34	org.l2jmobius.loginserver.GameServerThread	Server [2] Bartz is now set as disconnected.
2022.09.25 01:07:20,857	INFO	39	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Bartz IP's:
2022.09.25 01:07:20,857	INFO	39	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2022.09.25 01:07:20,858	INFO	39	org.l2jmobius.loginserver.GameServerThread	192.168.0.25/192.168.0.0/24
2022.09.25 01:07:20,858	INFO	39	org.l2jmobius.loginserver.GameServerThread	188.123.230.2/0.0.0.0/0
2022.09.25 01:15:14,063	INFO	39	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Bartz: Connection lost: Connection reset
2022.09.25 01:15:14,065	INFO	39	org.l2jmobius.loginserver.GameServerThread	Server [2] Bartz is now set as disconnected.
2022.09.25 01:15:42,348	INFO	44	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Bartz IP's:
2022.09.25 01:15:42,348	INFO	44	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2022.09.25 01:15:42,348	INFO	44	org.l2jmobius.loginserver.GameServerThread	192.168.0.25/192.168.0.0/24
2022.09.25 01:15:42,348	INFO	44	org.l2jmobius.loginserver.GameServerThread	188.123.230.2/0.0.0.0/0
