2022.10.02 18:15:32,784	INFO	1	org.l2jmobius.commons.database.DatabaseFactory	Database: Initialized.
2022.10.02 18:15:32,899	INFO	1	org.l2jmobius.loginserver.LoginController	Loading LoginController...
2022.10.02 18:15:33,292	INFO	1	org.l2jmobius.loginserver.LoginController	Cached 10 KeyPairs for RSA communication.
2022.10.02 18:15:33,355	INFO	1	org.l2jmobius.loginserver.GameServerTable	Loaded 127 server names.
2022.10.02 18:15:33,357	INFO	1	org.l2jmobius.loginserver.GameServerTable	Loaded 1 registered Game Servers.
2022.10.02 18:15:33,408	INFO	1	org.l2jmobius.loginserver.GameServerTable	Cached 10 RSA keys for Game Server communication.
2022.10.02 18:15:33,411	INFO	1	org.l2jmobius.loginserver.LoginServer	Loaded 2 IP Bans.
2022.10.02 18:15:33,484	INFO	1	org.l2jmobius.loginserver.LoginServer	Listening for GameServers on 127.0.0.1:9014
2022.10.02 18:15:33,654	INFO	1	org.l2jmobius.commons.network.NetworkManager	ClientNetworkManager: Listening on 0.0.0.0:6666
2022.10.02 18:16:23,307	INFO	33	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Bartz IP's:
2022.10.02 18:16:23,309	INFO	33	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2022.10.02 18:16:23,309	INFO	33	org.l2jmobius.loginserver.GameServerThread	192.168.0.28/192.168.0.0/24
2022.10.02 18:16:23,309	INFO	33	org.l2jmobius.loginserver.GameServerThread	188.123.230.54/0.0.0.0/0
2022.10.02 18:17:55,748	INFO	33	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Bartz: Connection lost: Connection reset
2022.10.02 18:17:55,748	INFO	33	org.l2jmobius.loginserver.GameServerThread	Server [2] Bartz is now set as disconnected.
2022.10.02 18:18:27,569	INFO	35	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Bartz IP's:
2022.10.02 18:18:27,569	INFO	35	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2022.10.02 18:18:27,569	INFO	35	org.l2jmobius.loginserver.GameServerThread	192.168.0.28/192.168.0.0/24
2022.10.02 18:18:27,569	INFO	35	org.l2jmobius.loginserver.GameServerThread	188.123.230.54/0.0.0.0/0
2022.10.02 18:19:46,231	INFO	35	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Bartz: Connection lost: Connection reset
2022.10.02 18:19:46,232	INFO	35	org.l2jmobius.loginserver.GameServerThread	Server [2] Bartz is now set as disconnected.
2022.10.02 18:20:19,205	INFO	37	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Bartz IP's:
2022.10.02 18:20:19,206	INFO	37	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2022.10.02 18:20:19,206	INFO	37	org.l2jmobius.loginserver.GameServerThread	192.168.0.28/192.168.0.0/24
2022.10.02 18:20:19,206	INFO	37	org.l2jmobius.loginserver.GameServerThread	188.123.230.54/0.0.0.0/0
2022.10.02 18:21:51,862	INFO	40	org.l2jmobius.loginserver.LoginController	Auto created account 'admin11'.
2022.10.02 19:00:18,570	INFO	37	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Bartz: Connection lost: Connection reset
2022.10.02 19:00:18,575	INFO	37	org.l2jmobius.loginserver.GameServerThread	Server [2] Bartz is now set as disconnected.
2022.10.02 19:01:08,972	INFO	53	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Bartz IP's:
2022.10.02 19:01:08,975	INFO	53	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2022.10.02 19:01:08,975	INFO	53	org.l2jmobius.loginserver.GameServerThread	192.168.0.28/192.168.0.0/24
2022.10.02 19:01:08,975	INFO	53	org.l2jmobius.loginserver.GameServerThread	188.123.230.54/0.0.0.0/0
2022.10.02 19:17:12,704	INFO	53	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Bartz: Connection lost: Connection reset
2022.10.02 19:17:12,707	INFO	53	org.l2jmobius.loginserver.GameServerThread	Server [2] Bartz is now set as disconnected.
2022.10.02 19:17:53,049	INFO	61	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Bartz IP's:
2022.10.02 19:17:53,051	INFO	61	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2022.10.02 19:17:53,051	INFO	61	org.l2jmobius.loginserver.GameServerThread	192.168.0.28/192.168.0.0/24
2022.10.02 19:17:53,051	INFO	61	org.l2jmobius.loginserver.GameServerThread	188.123.230.54/0.0.0.0/0
